latitude,longitude,nkill,city,attacktype1_txt
29.928467,73.871423,1,Sri Ganganagar,Assassination
29.928467,73.871423,1,Sri Ganganagar,Assassination
30.733315,76.779418,2,Chandigarh,Armed Assault
31.864464,74.955923,1,Fatehgarh Churian,Armed Assault
28.690073,77.213982,0,Delhi,Armed Assault
32.040763,75.401886,0,Gurdaspur District,Armed Assault
31.660681,75.12243,2,Chogawan,Assassination
31.345599,74.692032,3,Bhikhiwind,Armed Assault
31.2571,75.7609,1,Palahi,Assassination
32.040763,75.401886,1,Gurdaspur District,Bombing/Explosion
30.685679,75.094003,3,Bagha Purana,Unknown
31.633078,74.878288,6,Amritsar,Armed Assault
31.326015,75.576183,6,Jalandhar district,Armed Assault
31.633078,74.878288,0,Amritsar,Assassination
31.633078,74.878288,2,Amritsar,Assassination
28.960965,79.515377,4,Udham Singh Nagar,Assassination
31.147131,75.341218,4,Unknown,Assassination
31.432514,75.655905,6,Alawalpur,Armed Assault
31.633979,74.872264,2,Amritsar District,Assassination
22.169722,74.916389,9,Masanya,Armed Assault
31.84,74.76,4,Ajnala,Armed Assault
31.147131,75.341218,1,Unknown,Assassination
31.147131,75.341218,1,Unknown,Assassination
31.147131,75.341218,1,Unknown,Assassination
31.147131,75.341218,1,Unknown,Assassination
31.147131,75.341218,1,Unknown,Assassination
31.147131,75.341218,1,Unknown,Assassination
31.147131,75.341218,1,Unknown,Assassination
31.147131,75.341218,1,Unknown,Assassination
13.00807,77.570329,13,Bangalore,Armed Assault
,,2,Shinshin,Armed Assault
,,2,Rork,Assassination
31.225925,75.350692,2,Kular,Assassination
30.829115,75.63972,3,Pandori,Armed Assault
31.305986,75.63972,1,Rama Mandi,Assassination
31.819789,75.692805,1,Jalota,Armed Assault
28.585836,77.153336,1,New Delhi,Armed Assault
23.940848,91.988153,5,Unknown,Armed Assault
28.585836,77.153336,11,New Delhi,Armed Assault
28.690073,77.213982,10,Delhi,Armed Assault
,,1,Khalsanagar-basti,Assassination
31.326015,75.576183,2,Jalandar,Assassination
30.678437,75.291653,8,Badhni Kalan,Armed Assault
30.795441,77.069611,4,Chawal,Armed Assault
,,3,Devanchara,Armed Assault
31.633979,74.872264,4,Amritsar District,Assassination
30.608496,75.380567,1,Rama,Assassination
